Number,Level/Layer,Parameter,Forecast Valid,Description
400,750 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
401,750 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
402,750 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
403,750 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
404,750 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
405,750 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
406,750 mb,GRLE,2 hour fcst,Graupel [kg/kg]
407,775 mb,HGT,2 hour fcst,Geopotential Height [gpm]
408,775 mb,TMP,2 hour fcst,Temperature [K]
409,775 mb,RH,2 hour fcst,Relative Humidity [%]
410,775 mb,DPT,2 hour fcst,Dew Point Temperature [K]
411,775 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
412,775 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
413,775 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
414,775 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
415,775 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
416,775 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
417,775 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
418,775 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
419,775 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
420,775 mb,GRLE,2 hour fcst,Graupel [kg/kg]
421,800 mb,HGT,2 hour fcst,Geopotential Height [gpm]
422,800 mb,TMP,2 hour fcst,Temperature [K]
423,800 mb,RH,2 hour fcst,Relative Humidity [%]
424,800 mb,DPT,2 hour fcst,Dew Point Temperature [K]
425,800 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
426,800 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
427,800 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
428,800 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
429,800 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
430,800 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
431,800 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
432,800 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
433,800 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
434,800 mb,GRLE,2 hour fcst,Graupel [kg/kg]
435,825 mb,HGT,2 hour fcst,Geopotential Height [gpm]
436,825 mb,TMP,2 hour fcst,Temperature [K]
437,825 mb,RH,2 hour fcst,Relative Humidity [%]
438,825 mb,DPT,2 hour fcst,Dew Point Temperature [K]
439,825 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
440,825 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
441,825 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
442,825 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
443,825 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
444,825 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
445,825 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
446,825 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
447,825 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
448,825 mb,GRLE,2 hour fcst,Graupel [kg/kg]
449,850 mb,HGT,2 hour fcst,Geopotential Height [gpm]
450,850 mb,TMP,2 hour fcst,Temperature [K]
451,850 mb,RH,2 hour fcst,Relative Humidity [%]
452,850 mb,DPT,2 hour fcst,Dew Point Temperature [K]
453,850 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
454,850 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
455,850 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
456,850 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
457,850 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
458,850 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
459,850 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
460,850 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
461,850 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
462,850 mb,GRLE,2 hour fcst,Graupel [kg/kg]
463,875 mb,HGT,2 hour fcst,Geopotential Height [gpm]
464,875 mb,TMP,2 hour fcst,Temperature [K]
465,875 mb,RH,2 hour fcst,Relative Humidity [%]
466,875 mb,DPT,2 hour fcst,Dew Point Temperature [K]
467,875 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
468,875 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
469,875 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
470,875 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
471,875 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
472,875 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
473,875 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
474,875 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
475,875 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
476,875 mb,GRLE,2 hour fcst,Graupel [kg/kg]
477,900 mb,HGT,2 hour fcst,Geopotential Height [gpm]
478,900 mb,TMP,2 hour fcst,Temperature [K]
479,900 mb,RH,2 hour fcst,Relative Humidity [%]
480,900 mb,DPT,2 hour fcst,Dew Point Temperature [K]
481,900 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
482,900 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
483,900 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
484,900 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
485,900 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
486,900 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
487,900 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
488,900 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
489,900 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
490,900 mb,GRLE,2 hour fcst,Graupel [kg/kg]
491,925 mb,HGT,2 hour fcst,Geopotential Height [gpm]
492,925 mb,TMP,2 hour fcst,Temperature [K]
493,925 mb,RH,2 hour fcst,Relative Humidity [%]
494,925 mb,DPT,2 hour fcst,Dew Point Temperature [K]
495,925 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
496,925 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
497,925 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
498,925 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
499,925 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
500,925 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
501,925 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
502,925 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
503,925 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
504,925 mb,GRLE,2 hour fcst,Graupel [kg/kg]
505,950 mb,HGT,2 hour fcst,Geopotential Height [gpm]
506,950 mb,TMP,2 hour fcst,Temperature [K]
507,950 mb,RH,2 hour fcst,Relative Humidity [%]
508,950 mb,DPT,2 hour fcst,Dew Point Temperature [K]
509,950 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
510,950 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
511,950 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
512,950 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
513,950 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
514,950 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
515,950 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
516,950 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
517,950 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
518,950 mb,GRLE,2 hour fcst,Graupel [kg/kg]
519,975 mb,HGT,2 hour fcst,Geopotential Height [gpm]
520,975 mb,TMP,2 hour fcst,Temperature [K]
521,975 mb,RH,2 hour fcst,Relative Humidity [%]
522,975 mb,DPT,2 hour fcst,Dew Point Temperature [K]
523,975 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
524,975 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
525,975 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
526,975 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
527,975 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
528,975 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
529,975 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
530,975 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
531,975 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
532,975 mb,GRLE,2 hour fcst,Graupel [kg/kg]
533,1000 mb,TMP,2 hour fcst,Temperature [K]
534,1000 mb,RH,2 hour fcst,Relative Humidity [%]
535,1000 mb,DPT,2 hour fcst,Dew Point Temperature [K]
536,1000 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
537,1000 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
538,1000 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
539,1000 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
540,1000 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
541,1000 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
542,1000 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
543,1000 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
544,1000 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
545,1000 mb,GRLE,2 hour fcst,Graupel [kg/kg]
546,1013.2 mb,HGT,2 hour fcst,Geopotential Height [gpm]
547,1013.2 mb,TMP,2 hour fcst,Temperature [K]
548,1013.2 mb,RH,2 hour fcst,Relative Humidity [%]
549,1013.2 mb,DPT,2 hour fcst,Dew Point Temperature [K]
550,1013.2 mb,SPFH,2 hour fcst,Specific Humidity [kg/kg]
551,1013.2 mb,VVEL,2 hour fcst,Vertical Velocity (Pressure) [Pa/s]
552,1013.2 mb,UGRD,2 hour fcst,U-Component of Wind [m/s]
553,1013.2 mb,VGRD,2 hour fcst,V-Component of Wind [m/s]
554,1013.2 mb,ABSV,2 hour fcst,Absolute Vorticity [1/s]
555,1013.2 mb,CLWMR,2 hour fcst,Cloud Mixing Ratio [kg/kg]
556,1013.2 mb,CICE,2 hour fcst,Cloud Ice [kg/m^2]
557,1013.2 mb,RWMR,2 hour fcst,Rain Mixing Ratio [kg/kg]
558,1013.2 mb,SNMR,2 hour fcst,Snow Mixing Ratio [kg/kg]
559,1013.2 mb,GRLE,2 hour fcst,Graupel [kg/kg]
560,0-0 m below ground,TSOIL,2 hour fcst,Soil Temperature Validation to deprecate [K]
561,0-0 m below ground,SOILW,2 hour fcst,Volumetric Soil Moisture Content [Fraction]
562,0.01-0.01 m below ground,TSOIL,2 hour fcst,Soil Temperature Validation to deprecate [K]
563,0.01-0.01 m below ground,SOILW,2 hour fcst,Volumetric Soil Moisture Content [Fraction]
564,0.04-0.04 m below ground,TSOIL,2 hour fcst,Soil Temperature Validation to deprecate [K]
565,0.04-0.04 m below ground,SOILW,2 hour fcst,Volumetric Soil Moisture Content [Fraction]
566,0.1-0.1 m below ground,TSOIL,2 hour fcst,Soil Temperature Validation to deprecate [K]
567,0.1-0.1 m below ground,SOILW,2 hour fcst,Volumetric Soil Moisture Content [Fraction]
568,0.3-0.3 m below ground,TSOIL,2 hour fcst,Soil Temperature Validation to deprecate [K]
569,0.3-0.3 m below ground,SOILW,2 hour fcst,Volumetric Soil Moisture Content [Fraction]
570,0.6-0.6 m below ground,TSOIL,2 hour fcst,Soil Temperature Validation to deprecate [K]
571,0.6-0.6 m below ground,SOILW,2 hour fcst,Volumetric Soil Moisture Content [Fraction]
572,1-1 m below ground,TSOIL,2 hour fcst,Soil Temperature Validation to deprecate [K]
573,1-1 m below ground,SOILW,2 hour fcst,Volumetric Soil Moisture Content [Fraction]
574,1.6-1.6 m below ground,TSOIL,2 hour fcst,Soil Temperature Validation to deprecate [K]
575,1.6-1.6 m below ground,SOILW,2 hour fcst,Volumetric Soil Moisture Content [Fraction]
576,3-3 m below ground,TSOIL,2 hour fcst,Soil Temperature Validation to deprecate [K]
577,3-3 m below ground,SOILW,2 hour fcst,Volumetric Soil Moisture Content [Fraction]
578,entire atmosphere,REFC,2 hour fcst,Composite reflectivity [dB]
579,cloud top,RETOP,2 hour fcst,Echo Top [m]
580,entire atmosphere,VIL,2 hour fcst,Vertically Integrated Liquid [kg/m^2]
581,surface,VIS,2 hour fcst,Visibility [m]
582,1000 m above ground,REFD,2 hour fcst,Reflectivity [dB]
583,4000 m above ground,REFD,2 hour fcst,Reflectivity [dB]
584,263 K level,REFD,2 hour fcst,Reflectivity [dB]
585,surface,GUST,2 hour fcst,Wind Speed (Gust) [m/s]
586,400-1000 mb above ground,MAXUVV,1-2 hour max,Hourly Maximum of Upward Vertical Velocity in the lowest 400hPa [m/s]
587,400-1000 mb above ground,MAXDVV,1-2 hour max,Hourly Maximum of Downward Vertical Velocity in the lowest 400hPa [m/s]
588,0.5-0.8 sigma layer,DZDT,1-2 hour ave,Vertical Velocity (Geometric) [m/s]
589,mean sea level,MSLMA M,2 hour fcst,(MAPS System Reduction) [Pa]
590,1000 mb,HGT,2 hour fcst,Geopotential Height [gpm]
591,1000 m above ground,MAXREF,1-2 hour max,Hourly Maximum of Simulated Reflectivity at 1 km AGL [dB]
592,5000-2000 m above ground,MXUPHL,1-2 hour max,Hourly Maximum of Updraft Helicity over Layer 2km to 5 km AGL [m^2/s^2]
593,entire atmosphere (considered as a single layer),TCOLG,1-2 hour max,Total Column Integrate Graupel [kg/m^2]
594,entire atmosphere,LTNG,2 hour fcst,Lightning [non-dim]
595,80 m above ground,UGRD,2 hour fcst,U-Component of Wind [m/s]
596,80 m above ground,VGRD,2 hour fcst,V-Component of Wind [m/s]
597,surface,PRES,2 hour fcst,Pressure [Pa]
598,surface,HGT,2 hour fcst,Geopotential Height [gpm]
599,surface,TMP,2 hour fcst,Temperature [K]
600,surface,ASNOW,0-2 hour acc,Total Snowfall [m]
601,0 m underground,MSTAV,2 hour fcst,Moisture Availability [%]
602,surface,CNWAT,2 hour fcst,Plant Canopy Surface Water [kg/m^2]
603,surface,WEASD,2 hour fcst,Water Equivalent of Accumulated Snow Depth [kg/m^2]
604,surface,SNOWC,2 hour fcst,Snow Cover [%]
605,surface,SNOD,2 hour fcst,Snow Depth [m]
606,2 m above ground,TMP,2 hour fcst,Temperature [K]
607,2 m above ground,POT,2 hour fcst,Potential Temperature [K]
608,2 m above ground,SPFH,2 hour fcst,Specific Humidity [kg/kg]
609,2 m above ground,DPT,2 hour fcst,Dew Point Temperature [K]
610,2 m above ground,RH,2 hour fcst,Relative Humidity [%]
611,10 m above ground,UGRD,2 hour fcst,U-Component of Wind [m/s]
612,10 m above ground,VGRD,2 hour fcst,V-Component of Wind [m/s]
613,10 m above ground,WIND,1-2 hour max,Wind Speed [m/s]
614,surface,CPOFP,2 hour fcst,Percent frozen precipitation [%]
615,surface,PRATE,2 hour fcst,Precipitation Rate [kg/m^2/s]
616,surface,APCP,0-2 hour acc,Total Precipitation [kg/m^2]
617,surface,WEASD,0-2 hour acc,Water Equivalent of Accumulated Snow Depth [kg/m^2]
618,surface,FROZR,0-2 hour acc,Frozen Rain [kg/m^2]
619,surface,SSRUN,1-2 hour acc,Storm Surface Runoff [kg/m^2]
620,surface,BGRUN,1-2 hour acc,Baseflow-Groundwater Runoff [kg/m^2]
621,surface,APCP,1-2 hour acc,Total Precipitation [kg/m^2]
622,surface,WEASD,1-2 hour acc,Water Equivalent of Accumulated Snow Depth [kg/m^2]
623,surface,FROZR,1-2 hour acc,Frozen Rain [kg/m^2]
624,surface,CSNOW,2 hour fcst,Categorical Snow [-]
625,surface,CICEP,2 hour fcst,Categorical Ice Pellets [-]
626,surface,CFRZR,2 hour fcst,Categorical Freezing Rain [-]
627,surface,CRAIN,2 hour fcst,Categorical Rain [-]
628,surface,SFCR,2 hour fcst,Surface Roughness [m]
629,surface,FRICV,2 hour fcst,Frictional Velocity [m/s]
630,surface,SHTFL,2 hour fcst,Sensible Heat Net Flux [W/m^2]
631,surface,LHTFL,2 hour fcst,Latent Heat Net Flux [W/m^2]
632,surface,GFLUX,2 hour fcst,Ground Heat Flux [W/m^2]
633,surface,VGTYP,2 hour fcst,Vegetation Type [Integer(0- 13)]
634,500-1000 mb,LFTX,2 hour fcst,Surface Lifted Index [K]
635,surface,CAPE,2 hour fcst,Convective Available Potential Energy [J/kg]
636,surface,CIN,2 hour fcst,Convective Inhibition [J/kg]
637,entire atmosphere (considered as a single layer),PWAT,2 hour fcst,Precipitable Water [kg/m^2]
638,low cloud layer,LCDC,2 hour fcst,Low Cloud Cover [%]
639,middle cloud layer,MCDC,2 hour fcst,Medium Cloud Cover [%]
640,high cloud layer,HCDC,2 hour fcst,High Cloud Cover [%]
641,entire atmosphere,TCDC,2 hour fcst,Total Cloud Cover [%]
642,cloud base,PRES,2 hour fcst,Pressure [Pa]
643,cloud base,HGT,2 hour fcst,Geopotential Height [gpm]
644,cloud ceiling,HGT,2 hour fcst,Geopotential Height [gpm]
645,cloud top,PRES,2 hour fcst,Pressure [Pa]
646,cloud top,HGT,2 hour fcst,Geopotential Height [gpm]
647,top of atmosphere,ULWRF,2 hour fcst,Upward Long-Wave Rad. Flux [W/m^2]
648,surface,DSWRF,2 hour fcst,Downward Short-Wave Radiation Flux [W/m^2]
649,surface,DLWRF,2 hour fcst,Downward Long-Wave Rad. Flux [W/m^2]
650,surface,USWRF,2 hour fcst,Upward Short-Wave Radiation Flux [W/m^2]
651,surface,ULWRF,2 hour fcst,Upward Long-Wave Rad. Flux [W/m^2]
652,surface,VBDSF,2 hour fcst,Visible Beam Downward Solar Flux [W/m^2]
653,surface,VDDSF,2 hour fcst,Visible Diffuse Downward Solar Flux [W/m^2]
654,3000-0 m above ground,HLCY,2 hour fcst,Storm Relative Helicity [m^2/s^2]
655,1000-0 m above ground,HLCY,2 hour fcst,Storm Relative Helicity [m^2/s^2]
656,0-6000 m above ground,USTM,2 hour fcst,U-Component Storm Motion [m/s]
657,0-6000 m above ground,VSTM,2 hour fcst,V-Component Storm Motion [m/s]
658,0-1000 m above ground,VUCSH,2 hour fcst,Vertical U-Component Shear [1/s]
659,0-1000 m above ground,VVCSH,2 hour fcst,Vertical V-Component Shear [1/s]
660,0-6000 m above ground,VUCSH,2 hour fcst,Vertical U-Component Shear [1/s]
661,0-6000 m above ground,VVCSH,2 hour fcst,Vertical V-Component Shear [1/s]
662,0C isotherm,HGT,2 hour fcst,Geopotential Height [gpm]
663,0C isotherm,RH,2 hour fcst,Relative Humidity [%]
664,0C isotherm,PRES,2 hour fcst,Pressure [Pa]
665,highest tropospheric freezing level,HGT,2 hour fcst,Geopotential Height [gpm]
666,highest tropospheric freezing level,RH,2 hour fcst,Relative Humidity [%]
667,highest tropospheric freezing level,PRES,2 hour fcst,Pressure [Pa]
668,263 K level,HGT,2 hour fcst,Geopotential Height [gpm]
669,253 K level,HGT,2 hour fcst,Geopotential Height [gpm]
670,180-0 mb above ground,4LFTX,2 hour fcst,Best (4 layer) Lifted Index [K]
671,180-0 mb above ground,CAPE,2 hour fcst,Convective Available Potential Energy [J/kg]
672,180-0 mb above ground,CIN,2 hour fcst,Convective Inhibition [J/kg]
673,surface,HPBL,2 hour fcst,Planetary Boundary Layer Height [m]
674,level of adiabatic condensation from sfc,HGT,2 hour fcst,Geopotential Height [gpm]
675,90-0 mb above ground,CAPE,2 hour fcst,Convective Available Potential Energy [J/kg]
676,90-0 mb above ground,CIN,2 hour fcst,Convective Inhibition [J/kg]
677,255-0 mb above ground,CAPE,2 hour fcst,Convective Available Potential Energy [J/kg]
678,255-0 mb above ground,CIN,2 hour fcst,Convective Inhibition [J/kg]
679,equilibrium level,HGT,2 hour fcst,Geopotential Height [gpm]
680,255-0 mb above ground,PLPL,2 hour fcst,Pressure of level from which parcel was lifted [Pa]
681,entire atmosphere,RHPW,2 hour fcst,Relative Humidity with Respect to Precipitable Water [%]
682,surface,LAND,2 hour fcst,"Land Cover (0=sea, 1=land) [Proportion]"
683,surface,ICEC,2 hour fcst,Ice Cover [Proportion]
684,top of atmosphere,SBT123,2 hour fcst,"Simulated Brightness Temperature for GOES 12, Channel 3 [K]"
685,top of atmosphere,SBT124,2 hour fcst,"Simulated Brightness Temperature for GOES 12, Channel 4 [K]"
686,top of atmosphere,SBT113,2 hour fcst,"Simulated Brightness Temperature for GOES 11, Channel 3 [K]"
687,top of atmosphere,SBT114,2 hour fcst,"Simulated Brightness Temperature for GOES 11, Channel 4 [K]"
